pharmacy_name,address,city,postal_code,phone,fax
ASTRAL I.D.A. PHARMACY,111 - 3101 Highway 6,Vernon,V1T 9H6,(250) 541-1999,(250) 541-1777
ATLAS DRUG MART,713A Goldstream Ave,Victoria,V9B 2X4,(250) 391-2964,(250) 391-2911
BAINS PHARMACY LTD.,8681 120 St,Delta,V4C 6R4,(604) 543-0911,(604) 507-0988
BALANCED HEALTH INTEGRATIVE PHARMACY,135 Lonsdale Ave,North Vancouver,V7M 2E7,(604) 971-4075,(604) 971-4074
BARNET PHARMACY,3-2773 Barnet Hwy,Coquitlam,V3B 1C2,(604) 468-4038,(604) 468-4091
BAY PHARMACY,6355 Bruce St,West Vancouver,V7W 2G5,(604) 305-0330,(604) 281-0330
BAYSHORE PHARMACY,7313 Meadow Ave,Burnaby,V5J 4Z2,1-855-237-2473,1-855-233-3146
BC DRUGS PHARMACY,9618 Cameron St,Burnaby,V3J 1M2,(604) 422-8216,(604) 422-8221
BELL PHARMACY,10519 King George Blvd,Surrey,V3T 2X1,(604) 585-3355,(604) 585-3350
BELMONT PRESCRIPTION X-PRESS,609 Belmont Street,New Westminster,V3M 5Z9,(604) 245-6200,(604) 245-6213
BEST CARE PHARMACY,101 - 12181 Harris Rd,Pitt Meadows,V3Y 2E9,(604) 262-4949,(604) 398-4937
BEST VALUE PHARMACY,477 Terminal Ave N,Nanaimo,V9S 4J8,(236) 897-0737,(236) 938-2980
BEST VALUE PHARMACY #2,101-660 Beach Rd,Qualicum Beach,V9K 2R1,(250) 909-0290,(236) 935-2984
BEST VALUE PHARMACY #3,111-2197 Otter Point Rd,Sooke,V9Z 1R9,(778) 352-5033,(236) 915-2907
BETA PHARMACY,104A-3701 Hastings St,Burnaby,V5C 2H6,(604) 299-6004,(604) 299-5004
BEYOND PHARMACY,#101 - 19211 Fraser Hwy,Surrey,V3S 7C9,(604) 245-6069,(604) 245-6102
BEYOND PHARMACY 2,#150 - 1575 McCallum Rd,Abbotsford,V2S 0K2,(604) 529-7600,(604) 529-7603
BIOPRO BIOLOGICS PHARMACY,845 Broadway W,Vancouver,V5Z 1J9,(778) 379-8161,(778) 379-8160
BIOSCRIPT PHARMACY LTD.,"13151 Vanier Place, Suite 180",Richmond,V6V 2J1,(604) 214-3784,(604) 244-3784
BIOSENSE COMPOUNDING PHARMACY,208-6011 Westminster Hwy,Richmond,V7C 4V4,(604) 278-7955,(604) 278-7960
BLACK'S PHARMACY,2037 Quilchena Ave.,Merritt,V1K 1B8,(250) 378-2155,(250) 378-4884
BONSOR PHARMACY,#107 - 6411 Nelson Avenue,Burnaby,V5H 4H3,(604) 431-8877,(604) 430-4700
BOOMER DRUGS,8574 Granville St,Vancouver,V6P 4Z7,(604) 266-9010,(604) 568-9838
BORDER PHARMACY,3401 E Hastings St,Vancouver,V5K 2A5,(877) 393-9265,(604) 336-9805
BRENTWOOD PHARMACY,4451 Lougheed Hwy,Burnaby,V5C 3Z2,(604) 564-3334,(604) 564-3335
BROOKSWOOD REMEDY'S RX PHARMACY #2,105-4061 200th St,Langley,V3A 1K8,(604) 427-4377,(604) 427-4378
BROOKSWOOD REMEDY'SRX,100 - 20103 40 Ave,Langley,V3A 2W3,(604) 427-2140,(604) 427-2141
BUDGET PHARMACY,5-301 Festubert St,Duncan,V9L 3T1,(250) 597-7751,(250) 597-7752
BURKE MOUNTAIN PHARMACY,110 - 1465 Salisbury Ave,Port Coquitlam,V3B 6J3,(604) 941-5575,(604) 941-5576
BURNABY PHARMACY,100A - 3300 Boundary Rd,Burnaby,V5M 0A8,(604) 453-0136,(604) 453-0137
BURNABY SQUARE PHARMACY,#107 - 7885 6th St,Burnaby,V3N 3N4,(604) 523-1400,(604) 523-1404
C.R.C. DRUGS,1008 - 8181 Cambie Road,Richmond,V6X 3X9,(604) 285-2555,(604) 285-2556
CAMBIE VILLAGE PHARMACY,3025 Cambie St,Vancouver,V5Z 4N2,(604) 630-6900,(604) 630-7066
CAMPBELL HEIGHTS PHARMACY,Unit 109 - 2677 192 Street,Surrey,V3Z 3X1,(604) 924-7445,(604) 634-7472
CAMPBELL RIVER HEALTH & DRUG STORE,Unit B1B - 465 Merecroft Rd,Campbell River,V9W 6K6,(250) 286-1771,(250) 286-4662
CANDRUG,#202 - 8322 130 St,Surrey,V3W 8J9,(604) 543-8711,(604) 507-8706
CANPHARM DRUGS,5853 Victoria Drive,Vancouver,V5P 3W5,(604) 321-5133,(604) 324-4510
CAP PHARMACY,155 - 8155 Capstan Way,Richmond,V6X 0V3,(236) 987-7788,(604) 227-7082
CAPILANO PHARMACY,2003 Curling Rd,North Vancouver,V7P 0E5,(604) 969-2316,(778) 309-6211
CAPITOL HILL PHARMACY,4656 Hastings St,Burnaby,V5C 2K5,(604) 299-9255,(604) 299-9257
CARE BOOST PHARMACY,#101 - 9450 120 St,Surrey,V3V 4B9,(604) 582-5111,(604) 582-6262
CARE BOOST PHARMACY #2,#101 - 13190 58A Ave,Surrey,V3X 0E4,(604) 630-6895,(604) 630-6896
CARE FIRST PHARMACY,7612 6th Street,Burnaby,V3N 0G6,(604) 553-8611,(604) 553-8610
CARE IN MOTION PHARMACY,2 - 9880 120 St,Surrey,V3V 4C9,(604) 496-2225,(604) 496-2234
CARE N CURE PHARMACY,177 - 8138 128 St,Surrey,V3W 1R1,(604) 598-3233,(604) 598-3234
CARECO'S PHARMACY,108-22633 Selkirk Ave,Maple Ridge,V2X 1C7,(778) 375-6299,(778) 602-2985
CAREMED PHARMACY,920 Pandora Ave,Victoria,V8V 3P3,(250) 380-2212,(250) 380-4959
CARERX BURNABY,8525 Commerce Crt,Burnaby,V5A 4N3,(604) 872-6762,(604) 872-6764
CARERX KELOWNA,120 - 3515 Spectrum Crt,Kelowna,V1V 2Z1,(250) 807-6725,(250) 807-6699
CARERX PARKSVILLE,"Units 1 & 2, 1176 Franklin's Gull Rd",Parksville,V9P 2M9,(250) 954-3666,(250) 954-3633
CARERX VICTORIA,570 Bay St,Victoria,V8T 1P9,(250) 590-3778,(778) 430-5988
CAREVILLE PHARMACY FLEETWOOD,107 - 8927 152 St,Surrey,V3R 4E5,(604) 634-1074,(604) 634-1075
CARMI REMEDY'SRX,25 - 725 Carmi Ave,Penticton,V2A 3G8,(778) 476-0010,(778) 476-0944
CARVOLTH PHARMACY,#120 - 20290 86 Ave,Langley,V2Y 3L6,(778) 298-9618,(778) 298-9621
CASCADE PHARMACY,Unit A - 46298 Yale Rd,Chilliwack,V2P 2P6,(604) 795-6122,(604) 795-3065
CEDAR VALLEY PHARMACY,201 - 32818 7th Ave,Mission,V2V 2C3,1-866-287-7929,1-866-287-8329
CEDAR VALLEY PHARMACY - CENTRAL FILL,1517 W 57th Ave,Vancouver,V6P 6E9,(604) 566-1517,(604) 566-1515
CENTRAL COMPOUND PHARMACY,803 E Hasting St,Vancouver,V6A 1R8,(236) 326-0928,(236) 326-0929
CENTRAL DRUGS - BEBAN PLAZA,#16 - 2220 Bowen Road,Nanaimo,V9S 1H9,(250) 758-7711,(250) 758-7765
CENTRAL DRUGS - BRICKYARD,#101 - 6010 Brickyard Road,Nanaimo,V9V 1S5,(250) 751-2576,(250) 751-2439
CENTRAL DRUGS - COLVILE,102-1515 Dufferin Cres,Nanaimo,V9S 5H6,(778) 441-5140,(778) 441-5141
CENTRAL DRUGS - DUFFERIN,#101 - 1125 Dufferin Cr.,Nanaimo,V9S 2B5,(250) 716-0063,(250) 716-0005
CENTRAL DRUGS - DUNSMUIR,495 Dunsmuir St,Nanaimo,V9R 6B9,(250) 753-6401,(250) 753-6487
CENTRAL DRUGS - LANTZVILLE,"7186 Lantzville Rd, Box 328",Lantzville,V0R 2H0,(250) 390-4423,(250) 390-4425
CENTRAL DRUGS - PACIFIC STATION,103 - 5160 Dublin Way,Nanaimo,V9T 0H2,(250) 585-6178,(250) 585-6179
CENTRAL PARK PHARMACY,3963 Kingsway,Burnaby,V5H 1Y7,(604) 433-0110,(604) 432-9327
CENTRAL PHARMACY SERVICES #5305,102-7635 North Fraser Way,Burnaby,V5J 0B8,(604) 430-4696,(604) 430-5447
CHEMMART PHARMACY,1900 - 8171 Ackroyd Rd,Richmond,V6X 3K1,(604) 270-9091,(604) 270-9092
CHEMMART PHARMACY NO.2,165-8119 Park Rd,Richmond,V6Y 0M5,(604) 918-7818,(604) 918-7817
CHIEF LOUIS PHARMACY LTD.,#304-302 Yellowhead Highway,Kamloops,V2H 0E8,(778) 943-1640,(778) 943-1740
CHILLIWACK PHARMACY,101- 45863 Yale Rd,Chilliwack,V2P 2N6,(604) 402-3100,(604) 402-3101
CHOICES PHARMACY,105 - 9093 King George Blvd.,Surrey,V3V 5V7,(604) 593-5322,(604) 593-5320
CITY CENTRE PHARMACY,110-187 Nanaimo Ave W,Penticton,V2A 1N2,(250) 770-0047,(250) 770-8853
CITY PHARMACY,108-7475 135 Street,Surrey,V3W 0M8,(778) 369-3733,(604) 503-1956
CITYMED PHARMACY,4 - 1493 Foster St,White Rock,V4B 0C4,(604) 385-1490,(604) 385-1491
CITYMED PHARMACY #2,#107 - 14818 60 Ave,Surrey,V3S 0B5,(604) 593-8866,(604) 593-8865
CLAYTON HEIGHTS CARE FIRST PHARMACY,Unit #101 19390 68 Ave,Surrey,V4N 6A9,(604) 510-3549,(604) 510-3568
CLAYTON HEIGHTS PHARMACY,102 - 7170 188 St,Surrey,V4N 6R4,(604) 372-3808,(604) 372-3812
CLINIC DRUG STORE,"Medical Building, 816 - 103rd Ave.",Dawson Creek,V1G 2E9,(250) 782-3100,(250) 782-8120
CLOUD PHARMACY,4918 Victoria Drive,Vancouver,V5P 3T6,(604) 558-1690,(604) 558-1691
COAL HARBOUR PHARMACY,Unit B - 622 Bute St,Vancouver,V6E 3M1,(604) 336-3038,(604) 336-3044
COASTAL CARE PHARMACY,101 - 10183 152A St,Surrey,V3R 4H6,(604) 588-0484,(604) 588-0485
COASTAL CARE PHARMACY #2,103 - 15420 Fraser Hwy,Surrey,V3R 3P5,(604) 589-9064,(604) 589-9066
COASTAL CARE PHARMACY #3,104 - 5795 176 Street,Surrey,V3S 4E1,(604) 283-9002,(778) 547-6250
COASTAL CARE PHARMACY #4,118-18525 53 Ave,Surrey,V3S 7A4,(236) 607-0531,(604) 227-7688
CO-DRUG MART PHARMACY,4-100 Lombardy St,Parksville,V9P 0G4,(250) 951-9699,(250) 951-9690
COLLINGWOOD PHARMACY,2732 41st Ave E,Vancouver,V5R 2X1,(604) 428-6455,(604) 428-6457
COLUMBIA PRESCRIPTION X-PRESS,317 Columbia St E,New Westminster,V3L 3W8,(604) 525-3784,(604) 525-3734
COLUMBIA ST. PHARMACY,"Columbia 300, #112 - 300 Columbia St",Kamloops,V2C 6L1,(778) 471-5971,(778) 471-5973
COMMON GOOD PHARMACY,105-3610 Carrington Rd,Westbank,V4T 3K7,(778) 795-0529,(778) 699-4768
COMMON GOOD PHARMACY - SUMMERLAND,101 - 13207 Victoria Road N,Summerland,V0H 1Z0,(250) 404-0913,(250) 404-0921
COMMUNITY APOTHECARY,402 - 3701 Hastings St,Burnaby,V5C 2H6,(604) 757-1254,(604) 563-7852
COMMUNITY OUTREACH PHARMACY,#309 - 800 Carleton Crt,Delta,V3M 6Y6,(604) 777-5601,(778) 654-7172
COMMUNITY PHARMACY,Units 3 & 4 - 2785 Bourquin Cres W,Abbotsford,V2S 5X6,(604) 776-2991,(604) 776-2992
COMOX VALLEY PHARMACY,300 - 727 Anderton Road,Comox,V9M 4A9,(250) 941-6685,(250) 941-6686
CONTINENTAL PHARMACY,1196 - 3779 Sexsmith Rd,Richmond,V6X 3Z9,(604) 276-8938,(604) 276-8940
CONTINENTAL PHARMACY #2,5316 Victoria Dr,Vancouver,V5P 3V7,(604) 327-6823,(604) 327-0272
COOL-AID DISPENSARY,713 Johnson St,Victoria,V8W 1M8,(250) 385-8469,(250) 383-5933
CORNING DRUGS #2,102-236 Georgia St E,Vancouver,V6A 1Z7,(604) 685-7609,(604) 685-7672
CORNING DRUGS LTD.,101-515 Main St,Vancouver,V6A 2V1,(604) 685-9056,(604) 685-8681
COTTON PHARMACY,#100A - 504 Cottonwood Ave,Coquitlam,V3J 2R5,(604) 931-2396,(604) 939-8311
COTTONWOOD REMEDYS'RX,100 - 45428 Luckakuck Way,Chilliwack,V2R 3S9,(604) 858-9446,(604) 858-9447
COUNTRY GROCER PHARMACY,372 Lower Ganges Rd,Salt Spring Island,V8K 2V7,(250) 538-0323,(250) 538-0326
COURTENAY PHARMACY,5A - 2401 Cliffe Ave,Courtenay,V9N 2L5,(250) 871-8405,(250) 871-8409
COVE PHARMACY,"672 Plaza Rd, Box 614, Quadra Island",Quathiaski Cove,V0P 1N0,(250) 285-2275,(250) 285-3375
COWRIE PHARMACY,101 - 5699 Cowrie St,Sechelt,V0N 3A0,(604) 885-0580,(604) 885-0572
CP CLEARBROOK PHARMACY,#1 - 2629 Cedar Park Place,Abbotsford,V2T 3S4,(604) 852-4466,(604) 744-3444
CRC CARE@HOME PHARMACY,Unit 2575 - 3700 No. 3 Road,Richmond,V6X 3X2,(604) 370-1001,(604) 370-1864
CREATE COMPOUNDING PHARMACY,1140-577 Nicola Ave,Port Coquitlam,V3B 0P2,(604) 409-4146,(604) 409-4179
CRESCENT PHARMACY INTEGRATIVE HEALTH CENTRE,115-10880 No. 5 Rd,Richmond,V6W 0B3,(604) 370-8875,(604) 370-8876
CRIDGE FAMILY PHARMACY,641 Fort St,Victoria,V8W 1G1,(250) 686-7104,(778) 433-7848
CRIDGE FAMILY PHARMACY 2,2136b Keating Cross Rd,Saanichton,V8M 2A6,(250) 652-8880,1-855-297-5608
CRIDGE FAMILY PHARMACY 3,108 - 1411 Cook St,Victoria,V8V 0E8,(250) 590-8711,1-855-647-1319
CRIDGE FAMILY PHARMACY 4,1918 Oak Bay Ave,Victoria,V8R 1C7,(250) 940-0223,(250) 410-3588
CROFTON PHARMACY,"101 - 8146 Queen St, PO Box 1089",Crofton,V0R 1R0,(250) 324-5554,(250) 324-5558
CROSSROADS PHARMACY,140 - 2061 Sumas Way,Abbotsford,V2S 8H6,(778) 880-0125,(778) 880-0282
CRYSTAL PHARMACY & MEDICAL SUPPLIES,1611 - 4500 Kingsway,Burnaby,V5H 2A9,(604) 433-2821,(604) 433-2830
CUSTOM HEALTH PHARMACY CHILLIWACK,A - 45555 Hodgins Ave,Chilliwack,V2P 1P3,(604) 402-4555,(604) 402-4556
CUSTOM HEALTH PHARMACY LANGLEY,19967 96th Ave,Langley,V1M 3C6,(604) 609-4111,(604) 609-4114
DAILY CARE PHARMACY,4973 Victoria Dr,Vancouver,V5P 3T7,(604) 336-9440,(604) 336-9441
DAVIE PHARMACY,1232 Davie St,Vancouver,V6E 1N3,(604) 559-9952,(604) 559-7752
DAVIES PRESCRIPTIONS - ST. GEORGES,1401 St. Georges Ave.,North Vancouver,V7L 3J3,(604) 985-8771,(604) 985-8262
DAWSON PHARMACY,4218 Dawson St,Burnaby,V5C 0B8,(604) 428-9755,(604) 428-9756
DEAN PHARMACY,102A - 6844 King George Blvd,Surrey,V3W 4Z9,(778) 564-3326,(778) 564-3777
DEEP COVE PHARMACY,4322 Gallant Ave,North Vancouver,V7G 1K8,(604) 985-3539,(604) 985-3540
DELTA PRESCRIPTION CLINIC,#101 - 8425 120th St,Delta,V4C 6R2,(604) 594-4499,(604) 594-4155
DONEX PHARMACY & DEPARTMENT STORE,145 Birch Ave,100 Mile House,V0K 2E0,(250) 395-4004,(250) 644-2251
DOUGLAS COMPOUNDING PHARMACY,376 175A Street,Surrey,V3Z 6S7,(604) 245-0727,(604) 634-7497
DOWNTOWN CLINIC PHARMACY,569 Powell Street,Vancouver,V6A 1G8,(604) 216-4257,(604) 216-4270
DOWNTOWN VANCOUVER PHARMACY,1102 Pender St West,Vancouver,V6E 2S1,(604) 844-1801,(604) 844-1824
DRUGLAND PHARMACY,#107 - 7738 Edmonds St,Burnaby,V3N 1B8,(604) 636-0666,(604) 636-0663
DRUGSTORE PHARMACY #6722,200 Carmi Avenue,Penticton,V2A 3G5,(250) 493-0053,(250) 493-4078
DRUGSTORE PHARMACY #6734,1000 South Lakeside Drive,Williams Lake,V2G 3A6,(250) 305-2158,(250) 305-2162
DUNCAN PHARMACY,101-725 Canada Ave,Duncan,V9L 1V1,250-597-4100,250-597-4191
DUNDAS PHARMACY,2081 Dundas St,Vancouver,V5L 1J5,(778) 379-5095,(778) 379-5094
DYCK'S PHARMACISTS (PANDOSY),3039 Pandosy St,Kelowna,V1Y 1W3,(778) 478-0360,(778) 478-0361
DYCK'S PHARMACISTS (SPRINGFIELD),1111 Springfield Road,Kelowna,V1Y 8R7,(250) 762-7774,(250) 762-7718
DYCK'S PHARMACISTS (ST. PAUL),1460 St. Paul St,Kelowna,V1Y 2E6,(250) 762-3333,(250) 862-8829
EAGLE LANDING PHARMACY,504 - 8236 Eagle Landing Parkway,Chilliwack,V2R 0R5,(604) 392-5529,(604) 392-5539
EASECARE PHARMACY,Unit 101 - 8585 160 St,Surrey,V4N 1G4,(778) 578-5160,(778) 578-5165
EAST HASTINGS PHARMACY,633 E Hastings,Vancouver,V6A 1R2,(604) 860-6000,(604) 398-6465
EASTSIDE PHARMACY LTD.,398 Hastings St E,Vancouver,V6A 1P4,(604) 255-1714,(604) 255-1753
EDGE PRO PHARMACY,100 - 6245 136th Street,Surrey,V3X 1H3,(604) 503-1766,(604) 503-1776
EDMONDS PHARMACY,105 - 7315 Edmonds St,Burnaby,V3N 1A7,(604) 526-1110,(604) 526-1926
ELEMENTS COMPOUNDING PHARMACY,3540 Blanshard St,Victoria,V8X 1W3,(250) 590-6777,(250) 590-6778
ELKFORD I.D.A. PHARMACY,"4 Front Street, Suite B",Elkford,V0B 1H0,(778) 521-5181,(778) 521-5182
ELYSIAN PHARMACY LTD.,110 - 2626 Croydon Drive,Surrey,V3Z 0S8,(604) 256-4132,(778) 613-2089
EMC PHARMACY,#180 13091 Vanier Place,Richmond,V6V 2J1,(604) 207-5433,(604) 207-5437
ENDERBY PHARMACY AND WELLNESS CENTRE,513 Cliff Ave,Enderby,V0E 1V0,(250) 838-0502,(250) 838-7233
ENHANCE RX,302 - 3965 Kingsway Ave,Burnaby,V5H 1Y8,(604) 336-7280,(604) 336-7281
ESTEVAN PHARMACY LIMITED,2517 Estevan Avenue,Victoria,V8R 2S6,(250) 598-2517,(250) 598-2512
EVERGREEN PHARMACY,104 - 1168 The High St,Coquitlam,V3B 0C6,(604) 474-3837,(604) 474-3835
EVERWELL PHARMACY,8179 Granville St,Vancouver,V6P 4Z6,(604) 563-8282,(604) 563-8280
EXPRESS CARE PHARMACY,25 - 6014 Vedder Road,Chilliwack,V2R 5M4,(604) 705-0029,(604) 705-0087
EXPRESS SCRIPTS CANADA PHARMACY,Unit 125 - 2250 Boundary Rd,Burnaby,V5M 3Z3,1-855-550-6337,1-888-807-6972
FAMILY CARE PHARMACY,"Unit B, 12815 96 Ave",Surrey,V3V 6V9,(604) 581-1900,(604) 581-1902
FAMILY CARE PHARMACY #2,8925 120 St,Delta,V4C 6R6,(604) 599-0211,(604) 599-4318
FAMILY CARE PHARMACY #3,1539 Johnston Rd,White Rock,V4B 3Z6,(604) 536-1300,(604) 536-1322
FAMILY CARE PHARMACY #4,B105 - 20020 84th Ave,Langley,V2Y 5K9,(604) 539-1611,(604) 539-1655
FELIX PHARMACY WEST INC.,1150-955 Seaborne Avenue,Port Coquitlam,V3B 0R9,(604) 552-6941,(604) 552-6942
FERNIE'S PHARMACY,3 - 562 2 Ave,Fernie,V0B 1M0,(250) 430-0525,(236) 526-2057
FINLANDIA NATURAL PHARMACY,1111 West Broadway,Vancouver,V6H 1G1,(604) 733-5323,(604) 733-5340
FIVE CORNERS PHARMACY,1189 Johnston Rd,White Rock,V4B 3Y7,(778) 545-3700,(778) 545-3701
FLASH PHARMACY MEDICAL CLINIC CENTRE,1562 Lonsdale Ave,North Vancouver,V7M 2J3,(604) 971-4464,(604) 971-4465
FLEETWOOD PHARMACY REMEDY'SRX,305 - 9014 152 St,Surrey,V3R 4E7,(604) 496-3303,(604) 496-3301
FORBES PHARMACY - BURNSIDE,1 - 101 Burnside Rd W,Victoria,V9A 1B7,(778) 432-3784,(778) 432-3785
FORBES PHARMACY - FORT STREET,1775 Fort St.,Victoria,V8R 1J3,(250) 595-1471,(250) 595-1911
FORBES PHARMACY - GOLDSTREAM,Unit 111 - 755 Goldstream Ave,Victoria,V9B 2X4,(250) 478-7300,(250) 478-7008
FORBES PHARMACY - GORGE,603 Gorge Rd E,Victoria,V8T 2W7,(250) 590-8811,(250) 590-8824
FORBES PHARMACY - HELMCKEN,120 - 27 Helmcken Rd,Victoria,V8Z 5G5,(778) 265-8181,(778) 265-7171
FORBES PHARMACY - MILLSTREAM,105 - 2349 Millstream Rd,Langford,V9B 3R5,(250) 478-1600,(250) 478-0400
FORBES PHARMACY - PANDORA,922 Pandora Ave,Victoria,V8V 3P3,(250) 385-3784,(250) 385-3700
FORBES PHARMACY - QUEEN CHARLOTTE,3209 Oceanview Drive,Daajing Giids,V0T 1S0,(250) 559-4910,(250) 559-4915
FORBES PHARMACY SOOKE,6691 Logan Lane,Sooke,V9Z 1A5,(778) 352-5040,(778) 352-5041
FORKS PHARMACY,426 Central Ave,Grand Forks,V0H 1H0,(250) 442-1868,(833) 333-2965
FORT NELSON PHARMACY,"4904 - 50th Ave. N., Box 540",Fort Nelson,V0C 1R0,(250) 774-2323,(250) 774-2326
FORT ROYAL PHARMACY,1803 Fort St,Victoria,V8R 1J6,(250) 590-3707,(250) 590-3708
FORT ROYAL PHARMACY COLWOOD INC.,B102-681 Allandale Rd,Victoria,V9C 0S2,(250) 474-0605,(250) 474-0606
FORT ROYAL PHARMACY HILLSIDE INC.,50-797 Hillside Ave,Victoria,V8T 1Z5,(778) 406-2022,(778) 406-2023
FORT ROYAL PHARMACY OAK BAY,2217 Oak Bay Ave,Victoria,V8R 1G4,(250) 590-9217,(250) 590-9218
FORT ST. JOHN PHARMACY AND WELLNESS CENTRE,#300 - 9730 - 101st Ave,Fort St. John,V1J 2A8,(250) 785-3234,(250) 785-7696
FORTUNE CREEK PHARMACY,2 - 2860 Smith Dr,Armstrong,V0E 1B1,(250) 546-1411,(250) 546-1422
FRASER CANYON PHARMACY,308 Wallace St.,Hope,V0X 1L0,(604) 869-5654,(604) 869-5665
FRASER CARE PHARMACY,6448 Fraser St.,Vancouver,V5W 3A4,(604) 325-8288,(604) 558-0578
FRASER COMMONS PHARMACY,717 SE Marine Dr,Vancouver,V5X 2T8,(604) 800-2223,(604) 398-8430
FRASER HEIGHTS PHARMACY LTD.,#102 - 16033 - 108th Ave.,Surrey,V4N 1P2,(604) 930-9544,(604) 930-9785
FRASER LAKE MEDICINE CENTRE,280 McMillan Ave,Fraser Lake,V0J 1S0,(250) 699-0075,(250) 699-0070
FRASER MEDICARE PHARMACY,4127 Fraser St,Vancouver,V5V 4E9,(604) 620-8278,(604) 620-8277
FRASER MEDICINE CENTRE PHARMACY,20200 Fraser Hwy,Langley,V3A 4E6,(604) 530-8810,(604) 530-8843
FRASER VALLEY PHARMACY,105 - 2760 Trethewey St,Abbotsford,V2T 3R1,(604) 859-1794,(778) 757-7770
FRASERGROVE PHARMACY,2941 272 St,Aldergrove,V4W 3R3,(604) 381-5981,(604) 381-5983
FRASERVIEW PHARMACY LTD.,#11 - 665 Front Street,Quesnel,V2J 2K9,(250) 992-3822,(250) 992-3766
FRASERWAY MEDICINE CENTRE,107 - 32615 South Fraser Way,Abbotsford,V2T 1X8,(604) 504-2022,(604) 504-2044
FRENCH CREEK PHARMACY,5 - 886 Wembley Rd,Parksville,V9P 2E6,(250) 586-6212,(250) 586-6214
FRESHCO PHARMACY #4252,6140 Blundell Road,Richmond,V7C 1H6,(604) 274-7370,(604) 274-7647
FRESHCO PHARMACY #4254,10151 No. 3 Road,Richmond,V7A 4R6,(604) 271-7734,(604) 271-7713
FRESHCO PHARMACY #4255,7165 - 138th Street,Surrey,V3W 7T9,(604) 594-4515,(604) 594-4802
FRESHCO PHARMACY #4256,32520 Lougheed Highway,Mission,V2V 1A5,(604) 826-5398,(604) 826-7967
FRESHCO PHARMACY #4257,7450 - 120th Street,Surrey,V3W 3M9,(604) 594-9866,(604) 594-1167
