pharmacy_name,city,phone,fax
BORDER PHARMACY,Vancouver,(877) 393-9265,(604) 336-9805
BRENTWOOD PHARMACY,Burnaby,(604) 564-3334,(604) 564-3335
BROOKSWOOD REMEDY'S RX PHARMACY #2,Langley,(604) 427-4377,(604) 427-4378
BROOKSWOOD REMEDY'SRX,Langley,(604) 427-2140,(604) 427-2141
BURKE MOUNTAIN PHARMACY,Port Coquitlam,(604) 941-5575,(604) 941-5576
BURNABY SQUARE PHARMACY,Burnaby,(604) 523-1400,(604) 523-1404
C.R.C. DRUGS,Richmond,(604) 285-2555,(604) 285-2556
CAMBIE VILLAGE PHARMACY,Vancouver,(604) 630-6900,(604) 630-7066
CAMPBELL RIVER HEALTH & DRUG STORE,Campbell River,(250) 286-1771,(250) 286-4662
CANPHARM DRUGS,Vancouver,(604) 321-5133,(604) 324-4510
CAPILANO PHARMACY,North Vancouver,(604) 969-2316,(778) 309-6211
CAPITOL HILL PHARMACY,Burnaby,(604) 299-9255,(604) 299-9257
CARE IN MOTION PHARMACY,Surrey,(604) 496-2225,(604) 496-2234
CARE N CURE PHARMACY,Surrey,(604) 598-3233,(604) 598-3234
CARERX BURNABY,Burnaby,(604) 872-6762,(604) 872-6764
CARERX KELOWNA,Kelowna,(250) 807-6725,(250) 807-6699
CARERX PARKSVILLE,Parksville,(250) 954-3666,(250) 954-3633
CARERX VICTORIA,Victoria,(250) 590-3778,(778) 430-5988
CAREVILLE PHARMACY FLEETWOOD,Surrey,(604) 634-1074,(604) 634-1075
CARMI REMEDY'SRX,Penticton,(778) 476-0010,(778) 476-0944
CARVOLTH PHARMACY,Langley,(778) 298-9618,(778) 298-9621
CENTRAL COMPOUND PHARMACY,Vancouver,(236) 326-0928,(236) 326-0929
CENTRAL DRUGS - BEBAN PLAZA,Nanaimo,(250) 758-7711,(250) 758-7765
CENTRAL DRUGS - BRICKYARD,Nanaimo,(250) 751-2576,(250) 751-2439
CENTRAL DRUGS - COLVILE,Nanaimo,(778) 441-5140,(778) 441-5141
CENTRAL DRUGS - DUFFERIN,Nanaimo,(250) 716-0063,(250) 716-0005
CENTRAL DRUGS - DUNSMUIR,Nanaimo,(250) 753-6401,(250) 753-6487
CENTRAL DRUGS - LANTZVILLE,Lantzville,(250) 390-4423,(250) 390-4425
CENTRAL DRUGS - PACIFIC STATION,Nanaimo,(250) 585-6178,(250) 585-6179
CENTRAL PARK PHARMACY,Burnaby,(604) 433-0110,(604) 432-9327
CENTRAL PHARMACY SERVICES #5305,Burnaby,(604) 430-4696,(604) 430-5447
CHEMMART PHARMACY,Richmond,(604) 270-9091,(604) 270-9092
CHEMMART PHARMACY NO.2,Richmond,(604) 918-7818,(604) 918-7817
CHOICES PHARMACY,Surrey,(604) 593-5322,(604) 593-5320
CITY CENTRE PHARMACY,Penticton,(250) 770-0047,(250) 770-8853
CITY PHARMACY,Surrey,(778) 369-3733,(604) 503-1956
CITYMED PHARMACY,White Rock,(604) 385-1490,(604) 385-1491
CITYMED PHARMACY #2,Surrey,(604) 593-8866,(604) 593-8865
CLAYTON HEIGHTS PHARMACY,Surrey,(604) 372-3808,(604) 372-3812
CLINIC DRUG STORE,Dawson Creek,(250) 782-3100,(250) 782-8120
CO-DRUG MART PHARMACY,Parksville,(250) 951-9699,(250) 951-9690
COLUMBIA PRESCRIPTION X-PRESS,New Westminster,(604) 525-3784,(604) 525-3734
COMMUNITY OUTREACH PHARMACY,Delta,(604) 777-5601,(778) 654-7172
COMMUNITY PHARMACY,Abbotsford,(604) 776-2991,(604) 776-2992
CONTINENTAL PHARMACY,Richmond,(604) 276-8938,(604) 276-8940
CONTINENTAL PHARMACY #2,Vancouver,(604) 327-6823,(604) 327-0272
COOL-AID DISPENSARY,Victoria,(250) 385-8469,(250) 383-5933
CORNING DRUGS #2,Vancouver,(604) 685-7609,(604) 685-7672
CORNING DRUGS LTD.,Vancouver,(604) 685-9056,(604) 685-8681
COTTON PHARMACY,Coquitlam,(604) 931-2396,(604) 939-8311
COTTONWOOD REMEDYS'RX,Chilliwack,(604) 858-9446,(604) 858-9447
COUNTRY GROCER PHARMACY,Salt Spring Island,(250) 538-0323,(250) 538-0326
COURTENAY PHARMACY,Courtenay,(250) 871-8405,(250) 871-8409
COVE PHARMACY,Quathiaski Cove,(250) 285-2275,(250) 285-3375
COWRIE PHARMACY,Sechelt,(604) 885-0580,(604) 885-0572
CP CLEARBROOK PHARMACY,Abbotsford,(604) 852-4466,(604) 744-3444
CREATE COMPOUNDING PHARMACY,Port Coquitlam,(604) 409-4146,(604) 409-4179
CRIDGE FAMILY PHARMACY,Victoria,(250) 686-7104,(778) 433-7848
CRIDGE FAMILY PHARMACY 2,Saanichton,(250) 652-8880,1-855-297-5608
CROSSROADS PHARMACY,Abbotsford,(778) 880-0125,(778) 880-0282
CRYSTAL PHARMACY & MEDICAL SUPPLIES,Burnaby,(604) 433-2821,(604) 433-2830
DAILY CARE PHARMACY,Vancouver,(604) 336-9440,(604) 336-9441
DAWSON PHARMACY,Burnaby,(604) 428-9755,(604) 428-9756
DEAN PHARMACY,Surrey,(778) 564-3326,(778) 564-3777
DELTA PRESCRIPTION CLINIC,Delta,(604) 594-4499,(604) 594-4155
DONEX PHARMACY & DEPARTMENT STORE,100 Mile House,(250) 395-4004,(250) 644-2251
DOUGLAS COMPOUNDING PHARMACY,Surrey,(604) 245-0727,(604) 634-7497
DOWNTOWN CLINIC PHARMACY,Vancouver,(604) 216-4257,(604) 216-4270
DOWNTOWN VANCOUVER PHARMACY,Vancouver,(604) 844-1801,(604) 844-1824
DRUGSTORE PHARMACY #6722,Penticton,(250) 493-0053,(250) 493-4078
DRUGSTORE PHARMACY #6734,Williams Lake,(250) 305-2158,(250) 305-2162
DYCK'S PHARMACISTS (PANDOSY),Kelowna,(778) 478-0360,(778) 478-0361
DYCK'S PHARMACISTS (SPRINGFIELD),Kelowna,(250) 762-7774,(250) 762-7718
DYCK'S PHARMACISTS (ST. PAUL),Kelowna,(250) 762-3333,(250) 862-8829
EAGLE LANDING PHARMACY,Chilliwack,(604) 392-5529,(604) 392-5539
EASECARE PHARMACY,Surrey,(778) 578-5160,(778) 578-5165
EAST HASTINGS PHARMACY,Vancouver,(604) 860-6000,(604) 398-6465
EASTSIDE PHARMACY LTD.,Vancouver,(604) 255-1714,(604) 255-1753
EDGE PRO PHARMACY,Surrey,(604) 503-1766,(604) 503-1776
EDMONDS PHARMACY,Burnaby,(604) 526-1110,(604) 526-1926
ELKFORD I.D.A. PHARMACY,Elkford,(778) 521-5181,(778) 521-5182
EMC PHARMACY,Richmond,(604) 207-5433,(604) 207-5437
ENDERBY PHARMACY AND WELLNESS CENTRE,Enderby,(250) 838-0502,(250) 838-7233
ENHANCE RX,Burnaby,(604) 336-7280,(604) 336-7281
ESTEVAN PHARMACY LIMITED,Victoria,(250) 598-2517,(250) 598-2512
EVERGREEN PHARMACY,Coquitlam,(604) 474-3837,(604) 474-3835
EXPRESS CARE PHARMACY,Chilliwack,(604) 705-0029,(604) 705-0087
FAMILY CARE PHARMACY,Surrey,(604) 581-1900,(604) 581-1902
FAMILY CARE PHARMACY #2,Delta,(604) 599-0211,(604) 599-4318
FAMILY CARE PHARMACY #3,White Rock,(604) 536-1300,(604) 536-1322
FAMILY CARE PHARMACY #4,Langley,(604) 539-1611,(604) 539-1655
FELIX PHARMACY WEST INC.,Port Coquitlam,(604) 552-6941,(604) 552-6942
FLASH PHARMACY MEDICAL CLINIC CENTRE,North Vancouver,(604) 971-4464,(604) 971-4465
FLEETWOOD PHARMACY REMEDY'SRX,Surrey,(604) 496-3303,(604) 496-3301
FORBES PHARMACY - BURNSIDE,Victoria,(778) 432-3784,(778) 432-3785
FORBES PHARMACY - FORT STREET,Victoria,(250) 595-1471,(250) 595-1911
FORBES PHARMACY - GOLDSTREAM,Victoria,(250) 478-7300,(250) 478-7008
FORBES PHARMACY - GORGE,Victoria,(250) 590-8811,(250) 590-8824
FORBES PHARMACY - MILLSTREAM,Langford,(250) 478-1600,(250) 478-0400
FORBES PHARMACY - PANDORA,Victoria,(250) 385-3784,(250) 385-3700
FORBES PHARMACY - QUEEN CHARLOTTE,Daajing Giids,(250) 559-4910,(250) 559-4915
FORBES PHARMACY SOOKE,Sooke,(778) 352-5040,(778) 352-5041
FORKS PHARMACY,Grand Forks,(250) 442-1868,(833) 333-2965
FORT NELSON PHARMACY,Fort Nelson,(250) 774-2323,(250) 774-2326
FORTUNE CREEK PHARMACY,Armstrong,(250) 546-1411,(250) 546-1422
FRASER CANYON PHARMACY,Hope,(604) 869-5654,(604) 869-5665
FRASER CARE PHARMACY,Vancouver,(604) 325-8288,(604) 558-0578
FRASER COMMONS PHARMACY,Vancouver,(604) 800-2223,(604) 398-8430
FRASER LAKE MEDICINE CENTRE,Fraser Lake,(250) 699-0075,(250) 699-0070
FRASER MEDICARE PHARMACY,Vancouver,(604) 620-8278,(604) 620-8277
FRASER MEDICINE CENTRE PHARMACY,Langley,(604) 530-8810,(604) 530-8843
FRASER VALLEY PHARMACY,Abbotsford,(604) 859-1794,(778) 757-7770
FRASERVIEW PHARMACY LTD.,Quesnel,(250) 992-3822,(250) 992-3766
FRESHCO PHARMACY #4252,Richmond,(604) 274-7370,(604) 274-7647
FRESHCO PHARMACY #4254,Richmond,(604) 271-7734,(604) 271-7713
FRESHCO PHARMACY #4255,Surrey,(604) 594-4515,(604) 594-4802
FRESHCO PHARMACY #4256,Mission,(604) 826-5398,(604) 826-7967
FRESHCO PHARMACY #4257,Surrey,(604) 594-9866,(604) 594-1167
FRESHCO PHARMACY #4265,Aldergrove,(604) 856-4667,(604) 856-7223
FRESHCO PHARMACY #4269,Chilliwack,(604) 795-6092,(604) 795-6034
FRESHCO PHARMACY #4270,Maple Ridge,(604) 460-7200,(604) 460-7242
FRESHCO PHARMACY #4272,Abbotsford,(604) 852-3558,(604) 852-5660
FRESHCO PHARMACY #4274,Williams Lake,(250) 398-8380,(250) 398-7087
FRESHCO PHARMACY #4276,Kamloops,(250) 372-1994,(250) 374-9167
FRESHCO PHARMACY #4277,Kelowna,(250) 860-4431,(250) 860-2584
FRESHCO PHARMACY #4278,Vernon,(250) 542-8008,(250) 542-5569
FRESHCO PHARMACY #4280,Powell River,(604) 485-4244,(604) 485-3063
GAIN PHARMACY,Surrey,(604) 582-4246,(604) 582-4276
GARLANE PHARMACY LTD.,Vancouver,(604) 684-6720,(604) 398-2891
GARRISON PHARMACY,Chilliwack,(604) 846-8782,(604) 846-8794
GATEWAY PHARMACY,Surrey,(604) 930-8608,(604) 930-2732
GENERATION PHARMACY,Maple Ridge,(604) 544-7111,(604) 544-8333
GLADWIN PHARMACY,Abbotsford,(604) 850-2494,(604) 853-9675
GLENCOURT DISTRIBUTORS,Surrey,(604) 539-0375,(604) 539-1464
GOLDEN EARS PHARMACY,Maple Ridge,(604) 477-3222,(604) 477-3221
GOLDEN FAMILY PHARMACY,Golden,(250) 344-6821,(250) 344-6869
GONZALES PHARMACY,Victoria,(250) 598-5512,(250) 590-3998
GOOD CURE PHARMACY,Chilliwack,(604) 847-1255,(236) 436-2607
GOOD FAITH PHARMACY,Port Alberni,(778) 421-1035,(778) 421-0757
GOURLAY'S GOLDEN PHARMACY,Golden,(250) 344-8600,(250) 344-8622
GRACE PHARMACY,Burnaby,(604) 434-1722,(604) 909-1722
GRANVILLE PHARMACY,Vancouver,(604) 558-0700,(604) 558-0722
GREENSHIELD PHARMACY,Burnaby,(778) 244-1788,(604) 648-9939
GUILDFORD DRUGS,Surrey,(778) 394-3784,(778) 395-3784
HANEY PHARMACY,Maple Ridge,(604) 467-9100,(604) 463-7189
HAPPY FACE PHARMACY,Langley,(604) 371-2794,(604) 371-2795
HARBOUR PHARMACY,Port Alberni,(250) 723-8100,(888) 675-9906
HARDY BAY DRUGSTORE,Port Hardy,(250) 949-9522,(250) 949-9532
HART DRUG MART,Prince George,(250) 962-9603,(250) 962-8450
HARVARD PHARMACY,Vancouver,(604) 875-0200,(604) 639-0020
HEALTHCARE PHARMACY,New Westminster,(604) 540-1325,(604) 540-4315
HEALTHCARE PHARMACY #2,Richmond,(604) 275-7800,(604) 275-7400
HEALTHCARE PHARMACY #3,Surrey,(778) 975-0017,(778) 607-2010
HEALTHMART PHARMACY,Surrey,(604) 503-3163,(604) 503-3168
HEALTHPLUS PHARMACY,Richmond,(604) 304-1294,(604) 304-1295
HEALTHPLUS PHARMACY #2,Richmond,(604) 370-6799,(604) 370-6798
HEALTHSIDE PHARMACY,Vancouver,(604) 327-6768,(604) 327-6761
HEART PHARMACY AT ESQUIMALT,Victoria,(778) 433-2721,(833) 333-2916
HERBACY PHARMAHEALTH INTERNATIONAL LIMITED,Surrey,(604) 498-8102,(604) 498-8103
HIGH GATE PHARMACY LTD.,Burnaby,(604) 777-4267,(604) 777-4268
HILLCREST PHARMACY LTD.,Abbotsford,(604) 746-1333,(604) 746-1334
HILLSIDE FAMILY PHARMACY,Ladysmith,(250) 924-2288,(250) 924-2289
HOPE PHARMACY,Hope,(604) 860-2144,(604) 860-2140
HOWE SOUND PHARMACY,Gibsons,(604) 886-3365,(604) 886-3052
I.D.A. FAMILY DRUG MART,Fort St. John,(250) 261-7039,(877) 376-0243
I.G.S. VALUE DRUG MART,Fernie,(250) 423-4511,(250) 423-4543
ICARE REMEDY'SRX,Surrey,(604) 498-0480,(604) 498-0481
IHEALTH PHARMACY,Chilliwack,(604) 392-8393,(236) 436-2986
IMPERIAL PHARMACY #2,New Westminster,(604) 523-6767,(604) 523-6768
INDIGO PHARMACY,New Westminster,(604) 553-8996,(604) 553-8993
INDIGO PHARMACY COMMERCIAL,Vancouver,(604) 566-8963,(604) 566-8962
INNOMAR PHARMACY,Burnaby,(604) 563-2700,(604) 563-2701
ISLAND CENTRAL FILL PHARMACY,Cobble Hill,(250) 929-2100,(250) 929-2102
JAMIE'S PHARMACY,Vernon,(250) 541-8999,(250) 541-8907
JERICHO PHARMACY & HEALTH FOOD STORE,Vancouver,(604) 228-8978,(604) 228-0798
JOE'S FAMILY PHARMACY,Saanichton,(778) 426-2420,(778) 506-2391
JOE'S FAMILY PHARMACY #2,Esquimalt,(778) 817-1754,(778) 698-7054
JOE'S FAMILY PHARMACY #3,North Saanich,(778) 817-1591,(250) 410-1851
JOE'S SPECIALTY PHARMACY,North Saanich,(250) 410-1000 ext: 41703,(236) 916-2999
JOE'S SPECIALTY PHARMACY - VANCOUVER,Vancouver,(604) 924-8686,(833) 999-0871
KAMLOOPS DOWNTOWN PHARMACY,Kamloops,(250) 374-2216,(250) 374-2218
KASLO COMMUNITY PHARMACY,Kaslo,(250) 353-2224,(250) 353-2336
KATZIE PHARMACY,Pitt Meadows,(604) 457-1030,(604) 457-1031
KENSINGTON PHARMACY,Vancouver,(604) 428-6800,(604) 428-6900
KILLARNEY PHARMACY,Vancouver,(778) 800-8528,(778) 800-8530
KING GEORGE MEDIC PHARMACY,Surrey,(604) 585-8866,(604) 585-7036
KINGSTONS PHARMACY,Surrey,(604) 585-0525,(604) 585-0522
KLEO'S PHARMACY REMEDY'SRX,Kamloops,(778) 765-1444,(778) 765-1452
KORNAK AND HAMM'S PHARMACY,Williams Lake,(250) 398-8177,(250) 398-7393
KROLL'S SURREY PHARMACY LTD.,Surrey,(604) 581-3636,(604) 581-3637
LADYSMITH WHOLEHEALTH PHARMACY AND MORE,Ladysmith,(250) 924-1241,(236) 933-2981
LAKESIDE PHARMACY,Fort St. James,(250) 996-7202,(250) 996-7366
LAMBERT-KIPP PHARMACY LTD.,Invermere,(250) 342-6612,(250) 342-6574
LANCASTER MEDICAL SUPPL. & PRESC. #4,Surrey,(604) 582-9181,(604) 582-9167
LANCASTER MEDICAL SUPPLIES & PRESCRIPTIONS #1,Vancouver,(604) 873-8585,(604) 873-2381
LANDMARK PHARMACY,Kelowna,(250) 762-5031,(250) 762-5032
LANGLEY PHARMACY,Langley,(604) 539-9799,(604) 539-9798
LG PHARMACY,Burnaby,(604) 558-2006,(604) 974-5444
LINCOLN WHOLEHEALTH PHARMACY,Abbotsford,(778) 362-4282,(778) 360-2997
LITTLE PRAIRIE PHARMACY,Chetwynd,(250) 788-1060,1-833-909-2074
LIVING ROOM PHARMACY LTD.,Courtenay,(250) 338-5665,(250) 338-5855
LOBLAW PHARMACY #1517,Vancouver,(604) 322-3706,(604) 322-7321
LOBLAW PHARMACY #1518,Burnaby,(604) 439-4404,(604) 439-4466
LOBLAW PHARMACY #1519,Coquitlam,(604) 520-8304,(604) 520-8348
LOBLAW PHARMACY #1520,Vancouver,(604) 436-6406,(604) 436-6446
LOBLAW PHARMACY #1521,Surrey,(604) 599-3704,(604) 599-3705
LOBLAW PHARMACY #1522,Kamloops,(250) 371-6435,(250) 371-6433
LOBLAW PHARMACY #1523,Chilliwack,(604) 824-4235,(604) 824-4233
LOBLAW PHARMACY #1524,Campbell River,(250) 830-2730,(250) 830-2733
LOBLAW PHARMACY #1525,Nanaimo,(250) 390-5735,(250) 390-5732
LOBLAW PHARMACY #1526,Coquitlam,(604) 468-6735,(604) 468-6732
LOBLAW PHARMACY #1527,Victoria,(250) 391-3135,(250) 391-3133
LOBLAW PHARMACY #1528,Courtenay,(250) 334-6935,(250) 334-6940
LOBLAW PHARMACY #1531,Vernon,(250) 550-2335,(250) 550-2334
LOBLAW PHARMACY #1532,Penticton,(250) 487-7715,(250) 487-7711
LOBLAW PHARMACY #1551,Surrey,(778) 545-0478,(778) 545-0480
LOBLAW PHARMACY #1552,Westbank,(250) 707-7015,(250) 707-7011
LOBLAW PHARMACY #1553,Cranbrook,(250) 420-2135,(250) 420-2132
LOBLAW PHARMACY #1554,Delta,(604) 592-5235,(604) 592-5232
LOBLAW PHARMACY #1555,Pitt Meadows,(604) 460-4335,(604) 460-4333
LOBLAW PHARMACY #1556,Surrey,(604) 587-8535,(604) 587-8532
LOBLAW PHARMACY #1557,Richmond,(604) 233-2430,(604) 233-2432
LOBLAW PHARMACY #1558,Abbotsford,(604) 557-5235,(604) 557-5232
LOBLAW PHARMACY #1559,Mission,(604) 820-6430,(604) 820-6433
LOBLAW PHARMACY #1560,North Vancouver,(604) 904-5535,(604) 904-5533
LOBLAW PHARMACY #1561,Langley,(604) 532-5430,(604) 532-5424
LOBLAW PHARMACY #1562,Prince George,(250) 960-1335,(250) 960-1344
LOBLAW PHARMACY #1563,Duncan,(250) 746-0535,(250) 746-0540
LOBLAW PHARMACY #1564,Kelowna,(250) 717-2535,(250) 717-2533
LOBLAW PHARMACY #4369,Port Alberni,(250) 723-1624,(250) 723-1787
LOBLAW PHARMACY #4382,Comox,(250) 339-6626,(250) 339-5593
LOBLAW PHARMACY #4399,Fort St. John,(250) 785-2547,(250) 785-5351
LOBLAW PHARMACY #4534,Trail,(250) 368-8544,(250) 368-8093
LOBLAW PHARMACY #4590,North Vancouver,(604) 983-3332,(604) 983-3392
LOBLAW PHARMACY #4612,Fernie,(250) 423-3264,(250) 423-8074
LOBLAW PHARMACY #4613,Kamloops,(250) 312-3326,(250) 312-3324
LOBLAW PHARMACY #4614,Kelowna,(250) 861-1525,(250) 861-3941
LOBLAW PHARMACY #4616,Surrey,(604) 576-3126,(604) 576-6844
LOBLAW PHARMACY #4617,Vancouver,(604) 430-3381,(604) 433-5347
LOBLAW PHARMACY #4627,Sechelt,(604) 740-5765,(604) 740-5743
LOBLAW PHARMACY #4907,Vanderhoof,(250) 567-6005,(250) 567-6009
LOBLAW PHARMACY #4979,Vancouver,(604) 708-8084,(604) 708-8663
LOBLAW PHARMACY #4980,Maple Ridge,(604) 467-0753,(604) 467-2981
LOBLAW PHARMACY #4981,Garibaldi Highlands,(604) 898-6818,(604) 898-6821
LOBLAW PHARMACY #4983,Quesnel,(250) 747-2812,(250) 747-2879
LOBLAW PHARMACY #4985,Creston,(250) 402-6025,(250) 402-6029
LOBLAW PHARMACY #6708,Esquimalt,(250) 381-8266,(250) 953-0008
LOBLAW PHARMACY #6732,Vernon,(250) 260-4558,(250) 260-4562
LONSDALE & 3RD PHARMACY,North Vancouver,(604) 971-5499,(604) 971-5498
LOW COST WESTERN PHARMACY,Vancouver,(604) 689-5555,(604) 689-5268
LOW COST WESTERN PHARMACY #2,Vancouver,(604) 322-6588,(604) 322-6501
LYNN VALLEY PHARMACY,North Vancouver,(604) 960-1187,(604) 960-1183
LYTTON PHARMACY,Lytton,(778) 254-5454,(778) 254-5455
M & S PHARMACY,Langley,(778) 298-5041,(778) 298-5045
MAGGIE'S PHARMACY,Vancouver,(778) 371-8721,(778) 371-8722
MAIN PRESCRIPTIONS,Vancouver,(604) 683-6381,(604) 683-8623
MAIN STATION PHARMACY,Vancouver,(604) 662-3883,(604) 662-3887
MAINCARE PHARMACY,Vancouver,(604) 325-0544,(604) 325-0574
MANN'S PRESCRIPTION PHARMACY,Duncan,(250) 746-7168,(250) 746-7169
MARK'S MARINE PHARMACY,Vancouver,(604) 325-9265,(604) 325-9805
MARY'S PHARMACY,Coquitlam,(604) 941-0454,(604) 941-0421
MCCALLUM PHARMACY,Abbotsford,(604) 852-3603,(604) 852-3601
MCCUE PHARMACY,Richmond,(604) 278-9601,(604) 273-5321
MCKESSON SPECIALTY PHARMACY (BC),Surrey,1-866-246-0095,1-866-246-7796
MCKIM CARE PHARMACY,Richmond,(604) 558-4315,(604) 558-4314
MEADOWS PHARMACY,Pitt Meadows,(604) 460-0541,(604) 460-0542
MEDCARE PHARMACY,Surrey,(604) 593-1415,(604) 593-1416
MEDICA PHARMACY LTD.,Surrey,(604) 496-1903,(604) 496-1909
MEDICAL CENTRE PRESCRIPTIONS,Surrey,(604) 581-2411,(604) 589-2020
MEDICARE PHARMACY,Richmond,(604) 278-7133,(604) 278-7135
MEDICINE GURU,Surrey,(604) 585-4878,(604) 585-4876
MEDISAVE PHARMACY #07,Surrey,(604) 599-5403,(604) 599-5404
MEDISAVE PHARMACY #3,Surrey,(604) 501-1114,(604) 501-1914
MEDISAVE PHARMACY #4,Surrey,(604) 501-7719,(604) 501-7759
MEDISAVE PHARMACY #6,Richmond,(604) 232-0811,(604) 232-0851
MEDISYSTEM PHARMACY WEST LIMITED,Richmond,(604) 270-4590,(604) 270-4594
MEDLANDIA COMPOUNDING PHARMACY,Maple Ridge,(604) 465-3375,(604) 465-3378
MEDLIFE PHARMACY,Maple Ridge,(778) 504-4569,(778) 504-8369
MEMORIAL COMPOUNDING PHARMACY,Qualicum Beach,(250) 752-9976,(250) 752-2499
METROCARE PHARMACY,Burnaby,(604) 568-1222,(604) 566-9213
MINORU PHARMACY,Richmond,(604) 270-2320,(604) 270-2327
MINT HEALTH + DRUGS: CORDOVA BAY,Victoria,(250) 590-6053,(250) 590-6403
MINT HEALTH + DRUGS: LATORIA,Victoria,(250) 590-7012,(250) 590-7014
MINT PHARMACY: BOWSER,Bowser,(250) 757-8631,(250) 757-8632
MODERN PHARMACY,Chilliwack,(778) 704-0474,(236) 436-2035
MORGAN CREEK PHARMACY,Surrey,(604) 538-6333,(604) 538-6387
MOUNT PLEASANT PHARMACY,Vancouver,(604) 872-2039,(604) 872-2049
MT. LEHMAN PHARMACY LTD.,Abbotsford,(604) 856-7176,(604) 856-7178
MUNRO'S SORRENTO PRESCRIPTIONS,Sorrento,(250) 675-4411,(250) 675-4422
MY PHARMACY,Sidney,(250) 800-0187,(250) 984-0881
NANAIMO PHARMACY,Vancouver,(604) 251-1299,(604) 251-1280
NANOOSE PHARMACY,Nanoose Bay,(250) 468-9921,(250) 468-9621
NAZ'S PHARMACY #2,Surrey,(604) 596-3241,(604) 597-3267
NAZ'S PHARMACY #3,Delta,(604) 585-1210,(604) 585-2601
NAZ'S PHARMACY #4,Surrey,(604) 543-8850,(604) 543-8857
NAZ'S PHARMACY NO. 1 LTD.,Vancouver,(604) 323-1268,(604) 323-1226
NAZ'S PHARMACY NO. 5,Surrey,(604) 634-0303,(604) 634-0304
NAZ'S PRESCRIPTION PLUS PHARMACY,Vancouver,(604) 325-3241,(604) 325-3276
NEIGHBOURLY BC CENTRAL FILL SOLUTIONS #1055,Burnaby,(236) 326-1010,(236) 326-1060
NELSON CLINIC PHARMACY,Nelson,(250) 352-3121,(250) 352-2389
NESTER'S PHARMACY LTD.,Whistler,(604) 905-0429,(604) 905-0427
NESTER'S PHARMACY SFU,Burnaby,(604) 298-1566,(604) 298-1535
NEWPORT VILLAGE PHARMACY,Port Moody,(604) 461-0136,(604) 461-0137
NOLAN'S CLINIC PHARMACY,Vernon,(250) 542-5866,(250) 542-2709
NOLAN'S NORTH END PHARMACY,Vernon,(250) 542-2265,(250) 542-2264
NORDLYS PHARMACY,Dawson Creek,(250) 782-0601,(250) 782-0622
NORTH ISLAND PHARMACY,Campbell River,(250) 286-4522,(250) 286-4530
NORTH ISLAND PHARMACY - COURTENAY,Courtenay,(250) 331-6306,(250) 871-6305
NORTH SHORE PHARMACY,Kamloops,(250) 376-9991,(250) 376-9922
NORTH WEST MARINE PHARMACY,North Vancouver,(604) 982-0981,(604) 982-0903
NORTHVIEW PHARMACY,North Vancouver,(604) 904-9992,(604) 904-0222
NOVACARE PHARMACY,Vancouver,(604) 303-6344,(604) 303-6345
