Section,Provenance,Statement,Detail,Source
Headline finds,RECORD,"to authorize building material restrictions and requirements for BL2026-1474: An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by changing from IR to SP zoning for property located at 1205 2nd Avenue North, approximately 129 feet north of Madison Street (0.46 acres), to permit a mixed use development, all of which is described herein (Proposal No. 2026SP-024-001).",2026-08-03 | Nashville,https://nashville.legistar.com/gateway.aspx?M=l&ID=20782
Headline finds,RECORD,"Mirage Propco casino: DR-26-0313-MIRAGE PROPCO, LLC:
DESIGN REVIEW for a proposed theater expansion in conjunction with a previously approved resort hotel (Hard Rock Hotel & Casino) on a portion of 76.93 acres in a CR (Commercial Resort) Zone. Generally located west of Las Vegas Boulevard South and south of Spring Mountain Road within Paradise.  TS/hw/cv  (For possible action)",2026-07-21 | Clark County,https://clark.legistar.com/gateway.aspx?M=l&ID=110419
By market,RECORD,Phoenix | Rezoning Application Z-15-26-2 - Southwest Corner of 56th Street and Ranger: Public Hearing and Ordinance Adoption - Rezoning Application Z-15-26-2 - Southwest Corner of 56th Street and Ranger Drive (Ordinance G-7525) - District 2,2026-06-30 | Phoenix,https://phoenix.legistar.com/gateway.aspx?M=l&ID=35401
By market,RECORD,"Phoenix | North Phoenix Growers, LLC et. al leisure development: Amend City Code - Ordinance Adoption - Rezoning Application Z-25-26-1-2 - Approximately 430 Feet South of the Southeast Corner of 19th Avenue and Jomax Road (Ordinance G-7529) - Districts 1 & 2",2026-06-30 | Phoenix,https://phoenix.legistar.com/gateway.aspx?M=l&ID=35400
By market,RECORD,Phoenix | Children's Museum of Phoenix: Children's Museum of Phoenix,2026-06-30 | Phoenix,https://phoenix.legistar.com/gateway.aspx?M=l&ID=35482
By market,RECORD,"Phoenix | Woodland Plaza, LLC, et.al leisure development: Amend City Code - Ordinance Adoption - Rezoning Application Z-145-24-1 - Approximately 200 Feet North of the Northwest Corner of 35th Avenue and Bell Road (Ordinance G-7528) - District 1",2026-06-30 | Phoenix,https://phoenix.legistar.com/gateway.aspx?M=l&ID=35398
By market,RECORD,"Phoenix | Randy Raskin, 43rd Ave leisure development: Amend City Code - Ordinance Adoption - Rezoning Application PHO-1-26--Z-29-23-7(8) - Approximately 300 Feet East of the Northeast Corner of 43rd Avenue and Baseline Road (Ordinance G-7531) - District 8",2026-06-30 | Phoenix,https://phoenix.legistar.com/gateway.aspx?M=l&ID=35415
By market,RECORD,"Phoenix | Larry Miller, Matrix at Dobbins leisure development: Amend City Code - Ordinance Adoption - Rezoning Application PHO-1-26--Z-45-22-8 - Southeast Corner of 59th Avenue and Dobbins Road (Ordinance G-7532) - District 8",2026-06-30 | Phoenix,https://phoenix.legistar.com/gateway.aspx?M=l&ID=35416
By market,RECORD,Phoenix | VTHQ leisure development: Amend City Code - Ordinance Adoption - Rezoning Application Z-27-26-8 - Southwest Corner of 14th Street and Hess Avenue (Ordinance G-7530) - District 8,2026-06-30 | Phoenix,https://phoenix.legistar.com/gateway.aspx?M=l&ID=35403
By market,RECORD,Phoenix | Liquor License - Fire N Ice Arena - District 2: Liquor License - Fire N Ice Arena - District 2,2026-06-16 | Phoenix,https://phoenix.legistar.com/Legislation.aspx#matter-35274
By market,RECORD,Phoenix | Laveen Baseline leisure development: Amend Ordinance S-47581 and Development Agreement (City Contract 157059) with Laveen Baseline LLC (Ordinance S-53031) - Districts 7 & 8,2026-06-16 | Phoenix,https://phoenix.legistar.com/Legislation.aspx#matter-35236
By market,RECORD,Phoenix | ADD-ON - Tohono O'odham Nation Tribal 2025 Gaming Grants (Ordinance S-52900): ADD-ON - Tohono O'odham Nation Tribal 2025 Gaming Grants (Ordinance S-52900) - Citywide,2026-05-19 | Phoenix,https://phoenix.legistar.com/gateway.aspx?M=l&ID=35247
By market,RECORD,"Clark County | Club 36 Master Association integrated resort: 4. UC-26-0383-BG CLUB 36 MASTER ASSOCIATION: USE PERMIT for a monorail on approximately 80 acres in a CR (Commercial Resort) Zone and a CG (Commercial General) Zone within the Airport Environs (AE-60,",2026-07-28 | Clark County,https://www.clarkcountynv.gov/adobe/assets/urn:aaid:aem:7592f7a2-1607-4db1-84fd-1e20f3737ec6/original/as/Winchester-Agenda-072826.pdf#item-uc-26-0383
By market,PRESS,Clark County | Heart Hotel / Kulik River: Las Vegas Topic Kulik River Capital,2026-07-24 | Clark County,https://news3lv.com/topic/Kulik%20River%20Capital
By market,RECORD,"Clark County | Mirage Propco casino: DR-26-0313-MIRAGE PROPCO, LLC:
DESIGN REVIEW for a proposed theater expansion in conjunction with a previously approved resort hotel (Hard Rock Hotel & Casino) on a portion of 76.93 acres in a CR (Commercial Resort) Zone. Generally located west of Las Vegas Boulevard South and south of Spring Mountain Road within Paradise.  TS/hw/cv  (For possible action)",2026-07-21 | Clark County,https://clark.legistar.com/gateway.aspx?M=l&ID=110419
By market,RECORD,"Clark County | Toll South LV leisure development: ORD-26-900159: Conduct a public hearing on an ordinance to consider adoption of a Development Agreement with Toll South LV LLC for a single-family residential subdivision on 0.89 acres, generally located east of Hinson Street and north of Silverado Ranch Boulevard within Enterprise. JJ/tpd (For possible action)",2026-07-21 | Clark County,https://clark.legistar.com/gateway.aspx?M=l&ID=110431
By market,RECORD,"Clark County | BDA South leisure development: ORD-26-900280: Conduct a public hearing on an ordinance to consider adoption of a Development Agreement with BDA South, LLC for a vehicle wash on 1.08 acres, generally located north of Wigwam Avenue and east of Arville Street within Enterprise. JJ/tpd (For possible action)",2026-07-21 | Clark County,https://clark.legistar.com/Legislation.aspx#matter-110432
By market,RECORD,"Clark County | World Buddhism Association Headquarters & MGM-Grand Bally's integrated resort: 4. AR-26-400041 (UC-25-0544)-WORLD BUDDHISM ASSOCIATION HEADQUARTERS & MGM-GRAND BALLY'S, LLC LEASE: USE PERMIT FIRST APPLICATION FOR REVIEW for a recreational or entertainment facility. DESIGN REVIEW",2026-07-14 | Clark County,https://www.clarkcountynv.gov/adobe/assets/urn:aaid:aem:35f66646-63c2-45e2-8052-2833536974fb/original/as/Winchester-Agenda-071426.pdf#item-ar-26-400041+uc-25-0544
By market,RECORD,"Clark County | ZL II leisure development: ORD-26-900259: Conduct a public hearing on an ordinance to consider adoption of a Development Agreement with ZL II, LLC for an avocational or vocational training facility and parking lot expansion on 12.04 acres, generally located east of El Camino Road and north of Rafael Rivera Way within Enterprise. MN/jl (For possible action)",2026-07-07 | Clark County,https://clark.legistar.com/gateway.aspx?M=l&ID=110310
By market,RECORD,"Clark County | Cimarron Spring Deux LLC, A & A Revocable Living Trust leisure development: ORD-26-900221: Conduct a public hearing on an ordinance to consider adoption of a Development Agreement with Cimarron Spring Deux LLC, A & A Revocable Living Trust, and A & A III LLC for a single-family development on 2.54 acres, generally located west of Hinson Street and south of Richmar Avenue within Enterprise. JJ/tpd (For possible action)",2026-07-07 | Clark County,https://clark.legistar.com/gateway.aspx?M=l&ID=110308
By market,RECORD,"Clark County | Ruby Holdings museum: 5. UC-26-0156-RUBY HOLDINGS, LLC: USE PERMITS for the following: 1) museum; and 2) office as a primary use. WAIVER OF DEVELOPMENT STANDARDS to reduce parking. DESIGN REVIEW for a proposed museum in co",2026-04-14 | Clark County,https://www.clarkcountynv.gov/adobe/assets/urn:aaid:aem:13a91c3e-05d2-48c5-bc38-a8b251f9bf46/original/as/Paradise-Minutes-041426.pdf#item-uc-26-0156
By market,RECORD,"Nashville | 12802 Old Hickory Boulevard mixed-use development: An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by changing from AR2a to SP zoning for property located at 12802 Old Hickory Boulevard, approximately 148 feet southwest of Logistics Way (3.6 acres), to permit a mixed use development, all of which is described herein (Proposal No. 2026SP-025-001).",2026-08-03 | Nashville,https://nashville.legistar.com/gateway.aspx?M=l&ID=20788
By market,RECORD,Nashville | amending Chapter 17.08 of the Metropolitan Code of Laws to modify the Zoning: An ordinance amending Chapter 17.08 of the Metropolitan Code of Laws to modify the Zoning District Land Use Table to reflect recent amendments to the Zoning Code (Proposal No. 2026Z-014-TX-001).,2026-08-03 | Nashville,https://nashville.legistar.com/gateway.aspx?M=l&ID=20861
By market,RECORD,"Nashville | approving Amendment No. 6 to the Arts Center Redevelopment Plan, Amendment No. 1: An ordinance approving Amendment No. 6 to the Arts Center Redevelopment Plan, Amendment No. 1 to the Bordeaux Redevelopment Plan, Amendment No. 1 to the Central State Redevelopment Plan, Amendment No. 6 to the Phillips-Jackson Redevelopment Plan, Amendment No. 9 to the Rutledge Hill Redevelopment Plan, and Amendment No. 1 to the Skyline Redevelopment Plan. (Proposal No. 2026M-002OT-001)",2026-08-03 | Nashville,https://nashville.legistar.com/gateway.aspx?M=l&ID=20850
By market,RECORD,"Nashville | to authorize building material restrictions and requirements for BL2026-1474: An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by changing from IR to SP zoning for property located at 1205 2nd Avenue North, approximately 129 feet north of Madison Street (0.46 acres), to permit a mixed use development, all of which is described herein (Proposal No. 2026SP-024-001).",2026-08-03 | Nashville,https://nashville.legistar.com/gateway.aspx?M=l&ID=20782
By market,RECORD,"Central Florida Tourism Oversight District | 10450 Turkey Lake Road leisure development: Contract between CFTOD and Tower Engineering Inc. approved by the Board at the November 21, 2025, meeting",2026-01-23 | Central Florida Tourism Oversight District,https://www.oversightdistrict.org/wp-content/uploads/2026/01/1-23-2026-BOS-Agenda-Packet-FINALcs.pdf#item-9.1-p276
By market,RECORD,"Central Florida Tourism Oversight District | CFTOD / Walt Disney World: Approve the District Administrator to execute a Non-exclusive temporary easement with permanent easement to Walt Disney Parks & Resorts, U.S. Inc for underground communication lines",2026-01-23 | Central Florida Tourism Oversight District,https://www.oversightdistrict.org/wp-content/uploads/2026/01/1-23-2026-BOS-Agenda-Packet-FINALcs.pdf#item-6.4-p146
By market,RECORD,"Anaheim | OCVibe: 4. Determinar sobre la base de la evidencia presentada por Anaheim Real Estate Partners, LLC, TS Anaheim, LLC y FCD, LLC (OCVIBE), que el propietario de la propiedad ha cumplido de buena fe con los té",2026-07-13 | Anaheim,https://anaheim.granicus.com/DocumentViewer.php?file=anaheim_7f2f654f7555addc70231de198fa22d9.pdf&view=1#item-h9f002fc7dbca
By market,RECORD,"Las Vegas | 500 North Casino Center Drive casino: 24. For possible action to approve award of Contract No. 260025-JG, Prime Design Services for Fire Administration Restrooms/Central Plant Modernization, located at 500 North Casino Center Drive - Depa",2025-10-15 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=41822#item-hb68c01f5db23
By market,RECORD,Bonita Springs | 8910 Terrene Ct leisure development: Bonita Bay Lake 21 Restoration (250609-53694_36-114553-P),2025-10-14 | Bonita Springs,https://www.sfwmd.gov/regpermitting#erp-250609-53694_36-114553-P
By market,RECORD,"San Antonio | Weston Urban leisure development: Discussion and possible action to authorize execution of a Master Economic Incentive Agreement between Weston Urban, LLC and the City of San Antonio as a source of funding for public improvements related to the redevelopment of the property located at 322 W. Commerce, for an amount up to $250,000.

",2021-09-20 | San Antonio,https://sanantonio.legistar.com/gateway.aspx?M=l&ID=43966
Coverage note,ASSESSMENT,"Coverage is limited to Altamonte Springs, Anaheim, Atlanta, Bonita Springs, Central Florida Tourism Oversight District, Clark County, Kissimmee, Lake Buena Vista, Las Vegas, Miami-Dade County, Nashville, Oakland, Phoenix, San Antonio, South Florida, Walt Disney World. Projects outside it exist in our register and are not reported here.",,
Coverage note,ASSESSMENT,The period is July 2026. Activity outside it is not included even where it concerns the same project.,,
Coverage note,ASSESSMENT,Dormant projects are excluded from this report.,,
Coverage note,ASSESSMENT,"Records are captured from published sources. A matter that has not been published, or that is published somewhere we do not yet capture, will not appear.",,
