Section,Provenance,Statement,Detail,Source
By market,RECORD,Clark County | 163 At Casino Drive casino: Approve and authorize the Chair to sign Supplemental No. 8 to the interlocal contract between Clark County and Regional Flood Control District to extend the contract term for design of the State Route 163 at Casino Drive project.  (For possible action),2026-08-03 | Clark County,https://clark.legistar.com/gateway.aspx?M=l&ID=110472
By market,RECORD,"Clark County | Visible Noise family entertainment centre: UC-26-0303-VISIBLE NOISE, LLC:
HOLDOVER USE PERMIT for a proposed recreational or entertainment facility within an existing office/warehouse complex on a portion of 5.31 acres in an IP (Industrial Park) Zone within the Airport Environs (AE-60) Overlay. Generally located west of Tenaya Way and north of Sunset Road within Spring Valley.  MN/rp/cv  (For possible action)",2026-08-03 | Clark County,https://clark.legistar.com/gateway.aspx?M=l&ID=110501
By market,RECORD,"Clark County | Hilton Resorts resort: 3. UC-26-0373-HILTON RESORTS CORPORATION: USE PERMIT for a monorail on approximately 21 acres in an RM50 (Residential Multi-Family 50) Zone, a CR (Commercial Resort) Zone, and an IL (Industrial Light)",2026-07-28 | Clark County,https://www.clarkcountynv.gov/adobe/assets/urn:aaid:aem:7592f7a2-1607-4db1-84fd-1e20f3737ec6/original/as/Winchester-Agenda-072826.pdf#item-uc-26-0373
By market,RECORD,"Clark County | Buona Vita resort: 2. AR-26-400068 (ET-25-400074(UC-23-0659))-BUONA VITA, LLC: USE PERMIT FIRST APPLICATION FOR REVIEW for daycare and school. WAIVERS OF DEVELOPMENT STANDARDS for the following: 1) trash enclosure; and ",2026-07-28 | Clark County,https://www.clarkcountynv.gov/adobe/assets/urn:aaid:aem:7592f7a2-1607-4db1-84fd-1e20f3737ec6/original/as/Winchester-Agenda-072826.pdf#item-ar-26-400068+et-25-400074+uc-23-0659
By market,RECORD,"Clark County | Club 36 Master Association integrated resort: 4. UC-26-0383-BG CLUB 36 MASTER ASSOCIATION: USE PERMIT for a monorail on approximately 80 acres in a CR (Commercial Resort) Zone and a CG (Commercial General) Zone within the Airport Environs (AE-60,",2026-07-28 | Clark County,https://www.clarkcountynv.gov/adobe/assets/urn:aaid:aem:7592f7a2-1607-4db1-84fd-1e20f3737ec6/original/as/Winchester-Agenda-072826.pdf#item-uc-26-0383
By market,PRESS,Clark County | Heart Hotel / Kulik River: Las Vegas Topic Kulik River Capital,2026-07-24 | Clark County,https://news3lv.com/topic/Kulik%20River%20Capital
By market,RECORD,"Clark County | Beltway 101, LLC & Blue 10: PA-26-700025-BELTWAY 101, LLC & BLUE 10, LLC:
PLAN AMENDMENT to redesignate the existing land use category from Neighborhood Commercial (NC) to Compact Neighborhood (CN) on 4.51 acres. Generally located north of Blue Diamond Road and west of Montessouri Street (alignment) within Enterprise. JJ/gc (For possible action)",2026-07-21 | Clark County,https://clark.legistar.com/gateway.aspx?M=l&ID=110451
By market,RECORD,"Clark County | BDA South: ORD-26-900280: Conduct a public hearing on an ordinance to consider adoption of a Development Agreement with BDA South, LLC for a vehicle wash on 1.08 acres, generally located north of Wigwam Avenue and east of Arville Street within Enterprise. JJ/tpd (For possible action)",2026-07-21 | Clark County,https://clark.legistar.com/Legislation.aspx#matter-110432
By market,RECORD,"Clark County | Tropicana Land resort: WS-26-0113-TROPICANA LAND, LLC:
HOLDOVER WAIVER OF DEVELOPMENT STANDARDS for modified driveway geometrics.
DESIGN REVIEW for a resort hotel on a 26.11 acre portion of 35.11 acres in a CR (Commercial Resort) Zone within the Airport Environs (AE-60) Overlay. Generally located south of Tropicana Avenue and east of Las Vegas Boulevard South within Paradise.  JG/nm/kh  (For possible action)",2026-07-21 | Clark County,https://clark.legistar.com/gateway.aspx?M=l&ID=110434
By market,RECORD,"Clark County | Church Searchlight Community: PA-26-700019-CHURCH SEARCHLIGHT COMMUNITY:
PLAN AMENDMENT to redesignate the existing land use category from Public Use (PU) to Neighborhood commercial (NC) on 4.8 acres.   Generally located west of US Highway 95 and north of State Route 164 within Searchlight. MN/rk  (For possible action)",2026-07-21 | Clark County,https://clark.legistar.com/gateway.aspx?M=l&ID=110428
By market,RECORD,"Clark County | Mirage Propco casino: DR-26-0313-MIRAGE PROPCO, LLC:
DESIGN REVIEW for a proposed theater expansion in conjunction with a previously approved resort hotel (Hard Rock Hotel & Casino) on a portion of 76.93 acres in a CR (Commercial Resort) Zone. Generally located west of Las Vegas Boulevard South and south of Spring Mountain Road within Paradise.  TS/hw/cv  (For possible action)",2026-07-21 | Clark County,https://clark.legistar.com/gateway.aspx?M=l&ID=110419
By market,RECORD,"Clark County | Toll South LV: ORD-26-900159: Conduct a public hearing on an ordinance to consider adoption of a Development Agreement with Toll South LV LLC for a single-family residential subdivision on 0.89 acres, generally located east of Hinson Street and north of Silverado Ranch Boulevard within Enterprise. JJ/tpd (For possible action)",2026-07-21 | Clark County,https://clark.legistar.com/gateway.aspx?M=l&ID=110431
By market,RECORD,"Clark County | South Decatur Holding CO: PA-26-700010-SOUTH DECATUR HOLDING CO., LLC:
PLAN AMENDMENT to redesignate the existing land use category from Neighborhood Commercial (NC) to Compact Neighborhood (CN) on 2.64 acres.  Generally located east of Decatur Boulevard and south of Moberly Avenue (alignment) within Enterprise. MN/rk (For possible action)",2026-07-21 | Clark County,https://clark.legistar.com/gateway.aspx?M=l&ID=110447
By market,RECORD,"Clark County | G D Carden Entertainment museum: ET-26-400054 (UC-25-0072)-GD CARDEN ENTERTAINMENT, LLC:
USE PERMITS FIRST EXTENSION OF TIME for the following: 1) recreational or entertainment facility; 2) museum; and 3) live entertainment. 
WAIVERS OF DEVELOPMENT STANDARDS for the following: 1) eliminate and reduce setbacks; 2) reduce parking requirements; 3) waive full off-site improvements; 4) reduce driveway approach distance; 5) reduce driveway departure distance; and 6) reduce driveway width.
DESIGN REVIEW for a recreational or entertainment facility and museum on 1.82 acres in an RS20 (Residential Single-Family 20) Zone within a Historic Designation (HDO) Overlay.  Generally located north of Vegas Drive and west of Valley Drive within the Lone Mountain Planning Area.  WM/rr/cv  (For possible action)",2026-07-21 | Clark County,https://clark.legistar.com/Legislation.aspx#matter-110423
By market,RECORD,"Clark County | Shamaim Henderson family entertainment centre: UC-26-0309-SHAMAIM HENDERSON, LLC:
USE PERMITS for the following: 1) an avocational or vocational training facility; and 2) a recreational or entertainment facility on a portion of 5.11 acres in an IL (Industrial Light) Zone and an IP (Industrial Park) Zone within the Airport Environs (AE-60 & AE-65) Overlay. Generally located south of Pilot Road and west of Bermuda Road within Enterprise.  MN/hw/cv  (For possible action)",2026-07-20 | Clark County,https://clark.legistar.com/gateway.aspx?M=l&ID=110386
By market,RECORD,"Clark County | BOLOGNESE, JOSEPH & VIVI A: PLAN AMENDMENT to redesignate the existing land use: PA-26-700026-BOLOGNESE, JOSEPH & VIVI A:
PLAN AMENDMENT to redesignate the existing land use category from Corridor Mixed-Use (CM) to Compact Neighborhood (CN) on 1.93 acres.  Generally located north of Serene Avenue and east of Grand Canyon Drive within Enterprise. JJ/rk (For possible action)",2026-07-20 | Clark County,https://clark.legistar.com/Legislation.aspx#matter-110398
By market,RECORD,"Clark County | issuance of general obligation (limited tax) transportation improvement bonds: Conduct a public hearing concerning the proposed issuance of general obligation (limited tax) transportation improvement bonds (additionally secured by pledged revenues), in the maximum principal amount of $101,190,000 for the purpose of financing transportation projects (Strip Resort Corridor).",2026-07-20 | Clark County,https://clark.legistar.com/Legislation.aspx#matter-110409
By market,RECORD,"Clark County | World Buddhism Association Headquarters & MGM-Grand Bally's integrated resort: 4. AR-26-400041 (UC-25-0544)-WORLD BUDDHISM ASSOCIATION HEADQUARTERS & MGM-GRAND BALLY'S, LLC LEASE: USE PERMIT FIRST APPLICATION FOR REVIEW for a recreational or entertainment facility. DESIGN REVIEW",2026-07-14 | Clark County,https://www.clarkcountynv.gov/adobe/assets/urn:aaid:aem:35f66646-63c2-45e2-8052-2833536974fb/original/as/Winchester-Agenda-071426.pdf#item-ar-26-400041+uc-25-0544
By market,RECORD,"Clark County | Happy Miner resort: 3. UC-25-0896-HAPPY MINER, LLC: USE PERMIT for office as a principal use. WAIVERS OF DEVELOPMENT STANDARDS for the following: 1) reduce setbacks; 2) increase building height; and 3) alternative drivew",2026-07-14 | Clark County,https://www.clarkcountynv.gov/adobe/assets/urn:aaid:aem:35f66646-63c2-45e2-8052-2833536974fb/original/as/Winchester-Agenda-071426.pdf#item-uc-25-0896
By market,RECORD,"Clark County | ZL II: ORD-26-900259: Conduct a public hearing on an ordinance to consider adoption of a Development Agreement with ZL II, LLC for an avocational or vocational training facility and parking lot expansion on 12.04 acres, generally located east of El Camino Road and north of Rafael Rivera Way within Enterprise. MN/jl (For possible action)",2026-07-07 | Clark County,https://clark.legistar.com/gateway.aspx?M=l&ID=110310
By market,RECORD,"Clark County | Diamond Quail: PA-26-700018-DIAMOND QUAIL, LLC:
PLAN AMENDMENT to redesignate the existing land use category from Neighborhood Commercial (NC) to Business Employment (BE) on 1.24 acres.   Generally located north of Quail Avenue and east of Santa Margarita Street (alignment) within Spring Valley. MN/gc (For possible action)",2026-07-07 | Clark County,https://clark.legistar.com/gateway.aspx?M=l&ID=110321
By market,PRESS,Las Vegas | Top Gun Las Vegas: Top Gun Vegas Locks South Strip Site at 4815 Las Vegas ...,2026-07-26 | Las Vegas,https://deeparrival.com/news/top-gun-vegas-south-strip-site-july-2026/
By market,RECORD,"Las Vegas | Plaza Hotel & Casino casino: 14. For possible action to approve the ratification of the Commission for the Las Vegas Centennial funding allocation to be used for the planning and running of the 2027, 2028, and 2029 Las Vegas Days",2026-07-01 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=42864#item-h34a32883beda
By market,RECORD,"Las Vegas | Zilberberg Towers 1 hotel: 14. ABEYANCE - 26-0116-SDR1 - SITE DEVELOPMENT PLAN REVIEW - PUBLIC HEARING - APPLICANT/OWNER: ZILBERBERG TOWERS 1, LLC - For possible action on a Land Use Entitlement project request FOR A PROPOSED S",2026-06-16 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=43162#item-h4bff6014948e
By market,RECORD,"Las Vegas | possible action to approve the ratification of the Commission for the Las Vegas: 11. For possible action to approve the ratification of the Commission for the Las Vegas Centennial award of $160,000 to the Neon Museum for the costs associated with the planning and running of a four",2026-06-03 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=42406#item-h437a333ac173
By market,RECORD,"Las Vegas | multifamily and mixed-use development that includes a residential component as: 40. Bill No. 2026-16 - For possible action - Authorizes multifamily and mixed-use development that includes a residential component as a conditional use on property zoned for commercial use, in accord",2026-05-20 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=42386#item-ha228cfd5c1c1
By market,RECORD,Las Vegas | various provisions of LVMC Title 19 to establish the Transit Oriented: 36. Bill No. 2026-13 - For possible action - Amends various provisions of LVMC Title 19 to establish the Transit Oriented Development Overlay District and make parallel adjustments. Sponsored by: Coun,2026-05-06 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=42376#item-ha8f0435b0451
By market,RECORD,Las Vegas | 221 North Rampart Boulevard casino: 19. For possible action to approve a new Non Restricted Gaming license for WILLIAM HILL1 dba CAESARS SPORTSBOOK db at THE RESORT AT SUMMERLIN at 221 North Rampart Boulevard - Ward 2 (Kelley) Agenda Su,2026-04-15 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=42356#item-h2fea74770792
By market,RECORD,"Las Vegas | 2000 South Las Vegas Boulevard casino: 14. For possible action to approve a new Non Restricted Gaming license for WILLIAM HILL l dba WILLIAM HILL RACE & SPORTS BOOK db at THE STRAT, HOTEL, CASINO & TOWER at 2000 South Las Vegas Boulevard -",2026-04-15 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=42356#item-h836f352fe1c5
By market,RECORD,Las Vegas | WILLIAM HILL ll casino: 15. For possible action to approve a new Non Restricted Gaming license for WILLIAM HILL ll dba WILLIAM HILL RACE & SPORTS BOOK dba FOUR QUEENS HOTEL AND CASINO at 202 Fremont Street - Ward 3 (Diaz) Ag,2026-04-15 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=42356#item-ha1a186745a91
By market,RECORD,Las Vegas | Brandywine Bookmaking casino: 18. For possible action to approve a new Non Restricted Gaming license for BRANDYWINE BOOKMAKING LLC dba WILLIAM HILL RACE & SPORTS BOOK dba PLAZA HOTEL & CASINO at 1 South Main Street - Ward 5 (Summe,2026-04-15 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=42356#item-h2667b1bb6acb
By market,RECORD,Las Vegas | LCLV MD resort: 13. ABEYANCE - 25-0530-SDR1 - SITE DEVELOPMENT PLAN REVIEW - PUBLIC HEARING - APPLICANT: LIVCO - OWNER: CITY OF LAS VEGAS - For possible action on a Land Use Entitlement project request FOR A PROPOSED,2026-04-14 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=42804#item-h7f5bdcebd61a
By market,RECORD,Las Vegas | 3591 East Bonanza Road transit-oriented development: 29. Bill No. 2026-13 - Amends various provisions of LVMC Title 19 to establish the Transit Oriented Development Overlay District and make parallel adjustments. Sponsored by: Councilman Brian Knudsen A,2026-04-01 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=42346#item-he6f8f5834aca
By market,RECORD,Las Vegas | Fifth Street Gaming casino: 10. For possible action to approve a One-Day Opening for a Non-Restricted Gaming license for FIFTH STREET GAMING LLC dba FIFTH STREET GAMING LLC db at WESTERN HOTEL & CASINO at 899 Fremont Street - Wa,2026-03-18 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=42326#item-h28eb1d558fc2
By market,RECORD,"Las Vegas | Panther Acquisitions transit-oriented development: 17. ABEYANCE - 25-0536-GPA1 - GENERAL PLAN AMENDMENT - PUBLIC HEARING - APPLICANT: PANTHER ACQUISITIONS, LLC - OWNER: MARGEL, LLC - For possible action on a Land Use Entitlement project request FROM: ",2026-02-10 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=42186#item-h0c863dc16018
By market,RECORD,Las Vegas | CITY OF LAS VEGAS - For possible action on a request to amend the City (25-0594): 36. ABEYANCE - 25-0594 - PUBLIC HEARING - APPLICANT/OWNER: CITY OF LAS VEGAS - For possible action on a request to amend the City of Las Vegas 2050 Master Plan to modify certain general plan categorie,2026-02-10 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=42186#item-h4bca7276beb2
By market,RECORD,"Las Vegas | providing for the issuance by the City of Las Vegas of its General Obligation: 37. Bill No. 2026-8 - An ordinance providing for the issuance by the City of Las Vegas of its General Obligation (Limited Tax) Medium-Term Building Bonds, Series 2026E (Taxable), in the maximum aggreg",2026-02-04 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=42286#item-h3debf20ca7be
By market,RECORD,"Las Vegas | The Howard Hughes Company master-planned community: 42. Bill No. 2026-1 - For possible action - Adopts that certain document entitled ""Development Agreement for Monument Hills Master Planned Community,"" including the incorporated ""Monument Hills Develo",2026-01-21 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=42256#item-h21c00c2f7323
By market,RECORD,"Las Vegas | 000 For The Maryland Parkway: 25. For possible action to approve Supplemental No. 6 to Interlocal Contract 1164 between the Cities of Las Vegas (CLV), North Las Vegas, Henderson, Boulder City and Mesquite, Clark County, and the Re",2026-01-21 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=42256#item-hfcc9035cbd00
By market,RECORD,"Las Vegas | Proview Series 39 casino: 15. For possible action to approve a Parking Lease Agreement between Proview Series 39, LLC, and the City of Las Vegas (City) where the City will manage and operate a fifty-nine (59) space parking lot",2026-01-21 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=42256#item-h70b1f823b194
By market,RECORD,"Las Vegas | KLA Capital Series 7 casino: 16. For possible action to approve a Parking Lease Agreement between KLA Capital Series 7, LLC, and the City of Las Vegas (City) where the City will manage and operate a nineteen (19) space parking lo",2026-01-21 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=42256#item-he8c543b347e4
By market,RECORD,Las Vegas | Nevada Test Site Historical Foundation museum: 11. For possible action to approve the ratification of the Commission for the Las Vegas Centennial funding allocation for the creation and installation of a permanent educational museum exhibit and to,2026-01-07 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=42246#item-h2e63d4603e2f
By market,RECORD,Las Vegas | 2427 South Las Vegas Boulevard casino: 12. For possible action to approve a One-Day Opening for a Non-Restricted Gaming License for UNITED COIN MACHINE dba CENTURY GAMING TECHNOLOGIES db at HOLY COW! CASINO CAFE at 2427 South Las Vegas Bou,2025-12-17 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=42132#item-h9540a7706bbe
By market,RECORD,"Las Vegas | Site Development Plan Review - Public Hearing - Applicant: Keivan Khorshid: 17. ABEYANCE - 25-0390-SDR1 - SITE DEVELOPMENT PLAN REVIEW - PUBLIC HEARING - APPLICANT: KEIVAN KHORSHID - OWNER: DENTAL TRAINING CENTER & DIGITAL LAB, INC. - For possible action on a Land Use Entitle",2025-12-09 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=40952#item-ha06b587499c8
By market,RECORD,"Las Vegas | Calida Residential transit-oriented development: 24. ABEYANCE - 25-0362-GPA1 - GENERAL PLAN AMENDMENT - PUBLIC HEARING - APPLICANT: CALIDA RESIDENTIAL, LLC - OWNER: ZSF OFFICE NV TRUST, ET AL - For possible action on a Land Use Entitlement project r",2025-11-18 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=40942#item-h9582a4a22db5
By market,RECORD,Las Vegas | possible action to approve the Third Amendment to Lease and Operating Agreement: 18. For possible action to approve the Third Amendment to Lease and Operating Agreement between The Smith Center for Performing Arts and the City of Las Vegas (City) where the parking facility informa,2025-10-15 | Las Vegas,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=41822#item-h511ab179299a
By market,RECORD,Unassigned | 1020 West Imperial Highway family entertainment centre: Conditional Use Permit 26-0003 (CUP26-0003) to establish and operate a commercial recreation facility (AK.A. Slick City) at 1020 West Imperial Highway,2026-07-29,https://ceqanet.lci.ca.gov/Project/2026071116
By market,PRESS,Unassigned | Resort Feasibility Study Case Study: Greenfield Hospitality: Resort Feasibility Study Case Study: Greenfield Hospitality ...,,https://flevy.com/topic/feasibility-study/case-greenfield-resort-development-feasibility-study-hospitality-industry?srsltid=AfmBOoqT75KYF1wj30EgKTcrSZ0ZB-sm2un4Zrbfc7Na25Qt5f9giX_y
By market,RECORD,Unassigned | Design and Supervision of the rehabilitation of Fort Charlotte (Include: Design and Supervision of the rehabilitation of  Fort Charlotte (Include Preservationist as key experts),,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00059510
By market,RECORD,Unassigned | 100 Museum St museum: Consultancy Service for Preparation of Road Map and 10 years Strategic Plan,,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00097599
By market,RECORD,"Unassigned | Consultancy services for the design and supervision of works to include: Consultancy services for the design and supervision of works to include: an entrance, parking lot, administrative offices, a storage shed for Bunkers Hill Cultural Xperience Rehabilitation  and Seven Rivers Attractions Ltd Infrastructure Upgrade",,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00431052
By market,RECORD,Unassigned | Marketing Telecommunications opportunities in Kiribati Including the licensing: Marketing Telecommunications opportunities in Kiribati Including the licensing of a 2nd Service Provider.,,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00026966
By market,RECORD,Unassigned | Senior Credit Officer: Senior Credit Officer,,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00455739
By market,RECORD,"Unassigned | Senior consultant for the Blue Economy: Supervision of Works of Rehabilitation and modernization of the Mindelo fish market, pier and surrounding area",2026-01-01,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00454829
By market,RECORD,Unassigned | Consultancy Services for Security Risk Management (SRM) to Develop site-specific: Consultancy Services for Security Risk Management (SRM) to Develop site-specific assessments/plans (security related),2026-01-01,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00435230
By market,RECORD,Unassigned | Demarcation & Buffer Zone Establishment for the Morne Diablotin National Park: Development  of the Final Management Plan for the Morne Trois Piton and Morne Diablotin National Parks,2026-01-01,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00452954
By market,RECORD,Unassigned | Consultancy Services for the Implementation Support of Grenada’s National: Consultancy Services for the Implementation Support of Grenada’s National Sustainable Tourism Development Plan,2026-01-01,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441543
By market,RECORD,Unassigned | RP 65 Consultoría Integral para la Adecuación de Proyectos Ejecutivos y: Consultoría para la formulación del Plan Integral para el Desarrollo Turístico y Fortalecimiento Institucional,2026-01-01,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00455210
By market,RECORD,Unassigned | Consulting services for the development and pilot application of Tables 8 and 9: Consulting services for the development and pilot application of Tables 8 and 9 Tourism Satellite Accounts (TSA) in the Osh region,2026-01-01,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441057
By market,RECORD,"Unassigned | An Integrated Approach to Establishing a World-Class Visitor Experience: An Integrated Approach to Establishing a World-Class Visitor Experience in the World Heritage Sites in Albreda and Juffureh: Design, Planning & Implementation Preparation",2026-01-01,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00444175
By market,RECORD,Unassigned | Recrutement d'un cabinet pour la conduite de l'étude finale sur les compétences: Recrutement d'un cabinet pour la conduite de l'étude finale sur les compétences digitales des jeunes bénéficiaires du PEJEDEC 3 - Collecte et analyse des données,2026-01-01,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00448629
By market,RECORD,Unassigned | Design of Photovoltaic Systems and Electric Vehicle Charging Infrastructure: Design of Photovoltaic Systems and Electric Vehicle Charging Infrastructure,2026-01-01,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441786
